2020_12_14_231706_0,,0,0,0,0,3.06785,0,3.06762,3.06772,3.0678,3.06783,3.06754,3.06762,3.06766,3.06771,3.06776,3.06752,3.06753,3.06754,2.90891,0,1.08199,0,0,0,0,0,0,0,0,0,0,0,1.06153,2.06153,0,0,3.06153,3.06153,3.06153,0,0,0,0,0,0,0,0,0,0,0,3.14159,0.785398,,8
2020_12_14_231706_1,,0,0,0,0,3.2985,0,3.29843,3.29845,3.2985,3.29852,3.29843,3.29844,3.29849,3.29851,3.29854,3.2984,3.29843,3.29843,3.16778,0,2.29067,0,0,0,0,0,0,0,0,0,0,0,0.292337,2.29234,0,0,3.29233,3.29233,3.29233,0,0,0,0,0,0,0,0,0,0,0,3.14159,0.436332,,1
2020_12_14_231707_2,,0,0,0,0,3.14972,0,3.14963,3.14968,3.14971,3.14972,3.14958,3.14963,3.14964,3.14966,3.14968,3.14956,3.14953,3.14951,2.99308,0,2.14484,0,0,0,0,0,0,0,0,0,0,0,0.143492,2.14349,0,0,3.14349,3.14349,3.14349,0,0,0,0,0,0,0,0,0,0,0,3.59729,0.581803,,2
2020_12_14_231707_3,,0,0,0,0,3.07025,0,3.0701,3.07015,3.07022,3.07024,3.07018,3.07009,3.07008,3.07006,3.07003,3.07002,3.07,3.06995,2.91377,0,2.06362,0,0,0,0,0,0,0,0,0,0,0,1.06394,2.06394,0,0,3.06394,3.06394,3.06394,0,0,0,0,0,0,0,0,0,0,0,3.61696,0.844021,,3
2020_12_14_231707_4,,0,0,0,0,3.07018,0,3.07013,3.07016,3.07019,3.07021,3.07025,3.07015,3.07019,3.07021,3.07024,3.07007,3.07008,3.07008,2.89042,0,2.05034,0,0,0,0,0,0,0,0,0,0,0,1.06398,2.06398,0,0,3.06398,3.06398,3.06398,0,0,0,0,0,0,0,0,0,0,0,3.42336,1.05474,,4
2020_12_14_231707_5,,0,0,0,0,0,0,3.06091,3.06097,3.06102,3.06091,3.06081,3.06087,3.06085,3.06085,3.06084,3.06089,3.06089,3.06085,2.86648,0,0,0,0,0,0,0,0,0,0,0,0,0,1.05482,2.05482,0,0,3.05482,3.05482,3.05482,0,0,0,0,0,0,0,0,0,0,0,3.14159,1.13446,,3
2020_12_14_231707_6,,0,0,0,0,3.06765,0,3.06762,3.06768,3.06767,3.06774,3.06751,3.06755,3.06765,3.06772,3.06779,3.06748,3.06754,3.06758,2.86862,0,2.93691,0,0,0,0,0,0,0,0,0,0,0,1.06153,2.06153,0,0,3.06153,3.06153,3.06153,0,0,0,0,0,0,0,0,0,0,0,2.85982,1.05474,,7
2020_12_14_231707_7,,0,0,0,0,3.03477,0,3.03469,3.03477,3.03476,3.03476,3.03468,3.03468,3.03469,3.03471,3.03471,3.03462,3.03462,3.03462,2.86053,0,1.99041,0,0,0,0,0,0,0,0,0,0,0,1.02862,2.02862,0,0,3.02862,3.02862,3.02862,0,0,0,0,0,0,0,0,0,0,0,2.66623,0.844021,,7
2020_12_14_231707_8,,0,0,0,0,3.12819,0,3.12815,3.12815,3.12818,3.12822,3.12808,3.12812,3.12818,3.12822,3.12824,3.12811,3.12815,3.12815,2.97122,0,2.09438,0,0,0,0,0,0,0,0,0,0,0,1.12206,2.12206,0,0,3.12206,3.12206,3.12206,0,0,0,0,0,0,0,0,0,0,0,2.68589,0.581803,,8
2020_12_14_231708_9,,0,0,0,0,3.29845,0,3.29843,3.29846,3.29849,3.2985,3.29845,3.29845,3.29847,3.2985,3.2985,3.29845,3.29845,3.29845,3.2135,0,2.44119,0,0,0,0,0,0,0,0,0,0,0,0,1.29234,0,0,3.29233,3.29233,3.29233,0,0,0,0,0,0,0,0,0,0,0,3.14159,0.0872664,,2
