2021_01_04_175112_0,,0,0,6.03631,6.03583,6.03418,5.08534,0,0,0,6.03626,6.0357,6.03403,5.11285,0,0,0,6.03619,6.03548,6.03384,0,0,0,6.03652,6.03615,6.03536,6.03372,0,0,0,6.03646,6.03594,6.03513,6.00227,0,0,0,6.0364,6.03583,6.03503,5.99738,0,0,0,5.94742,5.93582,6.034,5.9745,0,0,0,0,0,0.0436783,0.0436783,0,0,0,0,0,4.04367,3.04368,0,0,0,0,1.04368,6.04367,6.04367,0,0,0,0,4.04367,6.04367,6.04367,0,0,0,0,6.04367,6.04367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.14159,0.785398,,4
2021_01_04_175112_1,,0,0,6.07502,6.07436,6.07269,4.88366,0,0,0,6.07479,6.07421,6.07253,5.17809,0,0,0,6.07469,6.07398,6.07231,0.102532,0,0,0,6.075,6.07384,6.07219,0,0,0,6.07494,6.0744,6.07358,6.05612,0,0,0,6.07488,6.07426,6.07345,6.0456,0,0,0,5.99411,5.99625,6.0724,6.04053,0,0,0,0,0,0,0,0,0,0,0,0,3.08211,2.08211,0,0,0,0,0,6.08211,6.08211,0,0,0,0,4.08211,6.08211,5.08211,0,0,0,0,6.08211,6.08211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.14159,0.436332,,4
2021_01_04_175113_2,,0,0,6.13146,6.13093,6.12922,5.09322,0,0,0,6.13137,6.13078,6.12905,5.19497,0,0,0,6.13127,6.13052,6.12879,0,0,0,6.13148,6.1312,6.13039,6.12868,0,0,0,6.13148,6.13096,6.13009,6.08017,0,0,0,6.13142,6.13081,6.12996,6.07741,0,0,0,5.98501,6.00238,6.1288,6.04885,0,0,0,0,0,0.13864,0.13864,0,0,0,0,0,4.13864,3.13864,0,0,0,0,1.13864,6.13863,6.13863,0,0,0,0,4.13864,6.13863,0,0,0,0,0,6.13863,6.13863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.14159,1.13446,,4
2021_01_04_175113_3,,0,0,5.96354,5.96306,5.96142,5.92139,0,0,0,5.96347,5.96292,5.96128,4.98493,0,0,0,5.96333,5.96263,5.96104,0,0,0,5.96356,5.96325,5.96251,5.96092,0,0,0,5.96349,5.96302,5.96223,5.90301,0,0,0,5.9634,5.96287,5.96211,5.90043,0,0,0,5.84595,5.90343,5.96106,5.83032,0,0,0,0,0,0,0,0,0,0,0,0,3.97077,0,0,0,0,0,0.970769,5.97076,5.97076,0,0,0,0,4.97077,5.97076,0,0,0,0,0,5.97076,5.97076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.85982,1.05474,,1
2021_01_04_175113_4,,0,0,6.01131,6.01083,6.00926,5.96496,0,0,0,6.01126,6.01071,6.0091,5.95063,0,0,0,6.01116,6.01047,6.00888,0,0,0,6.0115,6.01114,6.01035,6.00877,0,0,0,6.01143,6.0109,6.0101,5.95067,0,0,0,6.01138,6.01078,6.00997,5.95121,0,0,0,5.91332,5.90945,6.00895,5.90905,0,0,0,0,0,0.0186563,0,0,0,0,0,0,4.01865,0,0,0,0,0,1.01866,6.01865,6.01865,0,0,0,0,5.01865,6.01865,0,0,0,0,0,6.01865,6.01865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.66623,0.844021,,2
2021_01_04_175113_5,,0,0,6.16192,6.16121,6.15962,5.16491,0,0,0,6.16162,6.16107,6.15945,6.11765,0,0,0,6.1615,6.16081,6.15921,0,0,0,6.16177,6.16144,6.16068,6.15907,0,0,0,6.16171,6.16119,6.1604,6.12082,0,0,0,6.16162,6.16106,6.16027,6.11165,0,0,0,6.08356,6.0838,6.15921,6.08714,0,0,0,0,0,0,0,0,0,0,0,0,4.16894,0,0,0,0,0,1.16894,6.16894,6.16894,0,0,0,0,4.16894,6.16894,0,0,0,0,0,6.16894,6.16894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.68589,0.581803,,2
2021_01_04_175113_6,,0,0,6.05937,6.05876,6.05712,6.0504,0,0,0,6.05919,6.05861,6.05698,5.16245,0,0,0,6.05907,6.05835,6.05671,0,0,0,0,6.05934,6.05822,6.05659,0,0,0,6.05928,6.05874,6.05794,6.04844,0,0,0,6.05922,6.0586,6.0578,6.04315,0,0,0,6.01604,6.01945,6.05673,6.04055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.06647,6.06647,0,0,0,0,0.0664711,6.06647,0,0,0,0,0,6.06647,6.06647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.14159,0.0872664,,3
2021_01_04_175113_7,,0,0,6.05395,6.05342,6.05171,5.01571,0,0,0,6.05386,6.05327,6.05154,5.92414,0,0,0,6.05376,6.05301,6.05128,0,0,0,6.05397,6.05369,6.05288,6.05117,0,0,0,6.05397,6.05345,6.05258,6.00266,0,0,0,6.05391,6.0533,6.05245,5.90229,0,0,0,5.85217,5.89087,6.05129,5.88515,0,0,0,0,0,0.0611305,0.0611305,0,0,0,0,0,4.06113,3.06113,0,0,0,0,1.06113,6.06112,6.06112,0,0,0,0,4.06113,6.06112,0,0,0,0,0,6.06112,6.06112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.14159,1.48353,,3
2021_01_04_175113_8,,0,0,6.00414,6.00339,6.00169,5.88784,0,0,0,6.00387,6.00336,6.00181,5.89871,0,0,0,6.00355,6.00297,6.00133,0,0,0,0,6.00367,6.00277,6.00113,0,0,0,6.00387,6.00326,6.00169,5.8781,0,0,0,6.0037,6.00302,6.00235,5.88537,0,0,0,5.85315,5.90674,6.00126,5.83426,0,0,0,0,0,0,0,0,0,0,0,0,4.01108,0,0,0,0,0,1.01109,6.01108,6.01108,0,0,0,0,4.01108,6.01108,0,0,0,0,0,6.01108,6.01108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.60714,1.31466,,3
2021_01_04_175113_9,,0,0,6.08182,6.08132,6.07966,6.00753,0,0,0,6.08176,6.0812,6.07953,5.99577,0,0,0,6.08163,6.08091,6.07927,0,0,0,6.08189,6.08155,6.08077,6.07913,0,0,0,6.08182,6.0813,6.08048,5.99855,0,0,0,6.08175,6.08115,6.08033,5.98139,0,0,0,5.99558,5.99924,6.07924,5.95104,0,0,0,0,0,0,0,0,0,0,0,0,4.089,0,0,0,0,0,1.089,6.089,6.089,0,0,0,0,4.089,6.089,0,0,0,0,0,6.089,6.089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.21301,0.896445,,3
